CodMunicipio;Ciudad;Año;Pobreza;PobrezaExtrema;Gini;TasaDesempleo;OcupacionInformal;ProporcionPoblacionPais;PorcentajeJovenes;DesempleoJovenes;IncidenciaCovid;NodoAglomeracion;ClasificacionOCDE
54001;Cúcuta A.M.;2018;41,0;7,6;0,440;15,7;70,6;1,5;26,3;24,6;;1;Predominantemente urbano
18001;Florencia;2018;43,6;7,5;0,485;12,6;60,3;0,3;28,4;20,1;;0;Predominantemente rural cercano
73001;Ibagué;2018;29,8;3,6;0,435;15,2;54,1;1,1;25,6;24,4;;0;Predominantemente urbano
17001;Manizales A.M.;2018;20,3;2,3;0,446;10,8;38,3;0,9;24,0;19,3;;1;Predominantemente urbano
05001;Medellín A.M.;2018;23,2;3,2;0,474;10,3;43,2;5,0;26,1;16,3;;1;Predominantemente urbano
23001;Montería;2018;32,6;5,3;0,451;10,5;61,5;1,0;25,9;16,6;;0;Intermedio
41001;Neiva;2018;35,0;4,3;0,465;10,7;55,1;0,7;25,0;16,6;;0;Intermedio
52001;Pasto;2018;40,3;6,0;0,479;7,6;54,2;0,8;24,8;14,0;;1;Intermedio
66001;Pereira A.M.;2018;27,9;2,1;0,416;8,6;51,2;1,0;24,0;12,6;;1;Predominantemente urbano
19001;Popayán;2018;43,6;10,7;0,484;9,7;56,7;0,7;25,4;16,6;;0;Intermedio
27001;Quibdó;2018;63,8;25,0;0,528;16,4;60,1;0,3;28,5;22,2;;0;Predominantemente rural cercano
44001;Riohacha;2018;45,7;16,4;0,529;15,0;62,1;0,4;27,9;23,4;;0;Intermedio
47001;Santa Marta;2018;40,6;9,0;0,463;7,9;65,1;1,0;26,6;14,0;;0;Intermedio
70001;Sincelejo;2018;30,5;2,6;0,460;9,9;65,3;0,6;26,3;16,2;;0;Intermedio
15001;Tunja;2018;33,2;5,0;0,458;11,9;45,2;0,4;27,2;19,6;;0;Intermedio
20001;Valledupar;2018;40,2;7,4;0,450;14,9;60,1;1,0;27,3;23,1;;0;Intermedio
50001;Villavicencio;2018;29,8;5,9;0,477;12,0;58,7;1,1;26,4;18,4;;1;Intermedio
63001;Armenia;2017;37,2;7,1;0,452;13,4;56,7;0,6;24,0;19,5;;1;Predominantemente urbano
08001;Barranquilla A.M.;2017;24,8;2,9;0,440;7,5;46,4;2,5;25,3;14,7;;1;Predominantemente urbano
11001;Bogotá;2017;28,4;4,2;0,498;9,5;40,0;15,5;26,6;17,9;;1;Predominantemente urbano
68001;Bucaramanga A.M.;2017;27,5;2,6;0,406;8,0;52,9;1,2;25,8;13,2;;1;Predominantemente urbano
76001;Cali A.M.;2017;22,2;3,9;0,460;10,7;44,9;4,7;24,4;18,0;;1;Predominantemente urbano
13001;Cartagena;2017;35,0;4,9;0,449;7,0;36,2;2,0;26,5;15,2;;1;Predominantemente urbano
54001;Cúcuta A.M.;2017;37,3;5,6;0,426;14,0;63,0;1,5;26,3;22,0;;1;Predominantemente urbano
18001;Florencia;2017;45,3;7,2;0,474;11,3;54,1;0,4;28,3;18,0;;0;Predominantemente rural cercano
73001;Ibagué;2017;29,6;3,3;0,429;13,0;46,3;1,1;25,6;20,9;;0;Predominantemente urbano
17001;Manizales A.M.;2017;22,4;2,4;0,455;10,5;37,2;0,9;24,1;18,7;;1;Predominantemente urbano
05001;Medellín A.M.;2017;23,3;2,8;0,464;9,9;41,5;5,0;26,4;15,7;;1;Predominantemente urbano
23001;Montería;2017;32,9;4,6;0,463;10,3;60,3;1,0;25,9;16,3;;0;Intermedio
41001;Neiva;2017;36,1;5,6;0,453;10,7;55,1;0,7;25,4;16,6;;0;Intermedio
52001;Pasto;2017;35,6;4,3;0,470;9,4;67,0;0,8;25,6;17,3;;1;Intermedio
66001;Pereira A.M.;2017;26,8;1,3;0,401;8,2;48,8;1,0;24,4;12,0;;1;Predominantemente urbano
19001;Popayán;2017;45,1;12,0;0,486;9,1;53,2;0,7;25,9;15,6;;0;Intermedio
27001;Quibdó;2017;63,7;25,5;0,531;14,2;52,0;0,3;28,2;19,2;;0;Predominantemente rural cercano
44001;Riohacha;2017;44,8;15,1;0,524;12,3;50,9;0,4;27,9;19,2;;0;Intermedio
47001;Santa Marta;2017;40,4;10,6;0,467;7,0;57,7;1,0;26,5;12,4;;0;Intermedio
70001;Sincelejo;2017;30,9;3,3;0,443;8,7;57,4;0,6;26,3;14,2;;0;Intermedio
15001;Tunja;2017;32,9;5,4;0,463;9,5;36,1;0,4;27,3;15,7;;0;Intermedio
20001;Valledupar;2017;39,7;7,8;0,461;12,8;51,6;1,0;27,3;19,8;;0;Intermedio
50001;Villavicencio;2017;30,1;7,0;0,452;10,5;51,4;1,1;26,8;16,1;;1;Intermedio
63001;Armenia;2016;39,2;8,5;0,465;14,2;57,1;0,6;24,3;20,7;;1;Predominantemente urbano
08001;Barranquilla A.M.;2016;26,2;3,4;0,433;7,3;53,2;2,5;25,4;14,3;;1;Predominantemente urbano
11001;Bogotá;2016;25,9;4,0;0,499;8,8;42,5;15,6;26,9;16,6;;1;Predominantemente urbano
68001;Bucaramanga A.M.;2016;25,9;2,2;0,399;8,2;54,2;1,2;26,1;13,5;;1;Predominantemente urbano
76001;Cali A.M.;2016;22,3;3,7;0,476;9,6;44,5;4,7;24,6;16,1;;1;Predominantemente urbano
13001;Cartagena;2016;38,5;6,6;0,460;9,4;53,2;2,0;26,5;20,4;;1;Predominantemente urbano
54001;Cúcuta A.M.;2016;38,2;8,0;0,427;13,8;70,6;1,5;26,4;21,7;;1;Predominantemente urbano
18001;Florencia;2016;46,1;8,1;0,497;10,8;60,3;0,4;28,4;17,2;;0;Predominantemente rural cercano
73001;Ibagué;2016;30,6;3,1;0,430;11,1;54,1;1,1;25,7;17,8;;0;Predominantemente urbano
17001;Manizales A.M.;2016;24,2;3,1;0,478;9,6;38,3;0,9;24,4;17,1;;1;Predominantemente urbano
05001;Medellín A.M.;2016;24,2;3,5;0,478;9,4;43,2;5,0;26,7;14,9;;1;Predominantemente urbano
23001;Montería;2016;35,9;5,9;0,463;9,1;61,5;1,0;26,1;14,4;;0;Intermedio
41001;Neiva;2016;37,0;6,7;0,459;10,5;55,1;0,7;25,6;16,3;;0;Intermedio
52001;Pasto;2016;37,1;5,7;0,469;8,7;54,2;0,8;25,9;16,0;;1;Intermedio
66001;Pereira A.M.;2016;30,2;2,6;0,411;10,6;51,2;1,0;24,7;15,5;;1;Predominantemente urbano
19001;Popayán;2016;47,9;13,6;0,482;11,5;56,7;0,7;26,1;19,7;;0;Intermedio
27001;Quibdó;2016;64,4;26,8;0,536;15,4;60,1;0,3;28,4;20,8;;0;Predominantemente rural cercano
44001;Riohacha;2016;44,9;15,8;0,520;12,0;62,1;0,4;27,8;18,7;;0;Intermedio
47001;Santa Marta;2016;43,2;11,1;0,450;8,2;65,1;1,0;26,4;14,5;;0;Intermedio
70001;Sincelejo;2016;35,1;5,0;0,459;9,1;65,3;0,6;26,3;14,9;;0;Intermedio
15001;Tunja;2016;33,7;6,5;0,493;8,9;45,2;0,4;27,5;14,7;;0;Intermedio
20001;Valledupar;2016;42,0;9,4;0,462;11,3;60,1;1,0;27,4;17,5;;0;Intermedio
50001;Villavicencio;2016;32,1;7,3;0,452;10,9;58,7;1,1;27,0;16,7;;1;Intermedio
63001;Armenia;2015;39,1;8,4;0,485;13,2;53,1;0,6;24,5;19,2;;1;Predominantemente urbano
08001;Barranquilla A.M.;2015;26,7;3,3;0,439;8,4;61,2;2,5;25,5;16,5;;1;Predominantemente urbano
11001;Bogotá;2015;25,1;3,6;0,498;8,3;40,1;15,7;27,1;15,7;;1;Predominantemente urbano
68001;Bucaramanga A.M.;2015;20,6;2,2;0,407;6,4;42,3;1,2;26,3;10,5;;1;Predominantemente urbano
76001;Cali A.M.;2015;23,6;3,8;0,478;10,4;48,2;4,7;24,7;17,4;;1;Predominantemente urbano
13001;Cartagena;2015;34,9;5,0;0,467;8,4;47,5;2,0;26,6;18,2;;1;Predominantemente urbano
54001;Cúcuta A.M.;2015;37,4;7,4;0,442;12,5;63,9;1,5;26,5;19,6;;1;Predominantemente urbano
18001;Florencia;2015;43,5;7,3;0,493;9,2;51,4;0,4;28,5;14,7;;0;Predominantemente rural cercano
73001;Ibagué;2015;27,7;3,4;0,444;11,7;57,0;1,1;25,8;18,8;;0;Predominantemente urbano
17001;Manizales A.M.;2015;22,6;2,1;0,455;8,1;32,3;0,9;24,7;14,4;;1;Predominantemente urbano
05001;Medellín A.M.;2015;23,8;3,8;0,489;9,2;42,3;5,0;26,9;14,6;;1;Predominantemente urbano
23001;Montería;2015;31,4;3,0;0,449;7,8;52,7;1,0;26,3;12,3;;0;Intermedio
41001;Neiva;2015;35,0;5,4;0,454;11,0;57,7;0,7;25,8;17,1;;0;Intermedio
52001;Pasto;2015;40,6;6,7;0,489;9,2;57,3;0,8;26,2;16,9;;1;Intermedio
66001;Pereira A.M.;2015;30,7;3,0;0,439;9,8;47,3;1,0;24,9;14,3;;1;Predominantemente urbano
19001;Popayán;2015;47,0;12,1;0,496;10,6;52,3;0,7;26,2;18,2;;0;Intermedio
27001;Quibdó;2015;65,7;27,1;0,528;15,1;58,9;0,3;28,6;20,4;;0;Predominantemente rural cercano
44001;Riohacha;2015;40,2;13,6;0,522;10,4;53,8;0,4;27,7;16,2;;0;Intermedio
47001;Santa Marta;2015;38,4;9,9;0,456;9,3;73,8;1,0;26,4;16,4;;0;Intermedio
70001;Sincelejo;2015;33,1;4,5;0,453;8,1;58,1;0,6;26,3;13,3;;0;Intermedio
15001;Tunja;2015;34,3;6,5;0,471;9,5;48,2;0,4;27,8;15,7;;0;Intermedio
20001;Valledupar;2015;37,3;5,1;0,446;10,5;55,8;1,0;27,5;16,2;;0;Intermedio
50001;Villavicencio;2015;28,8;5,0;0,446;9,3;50,1;1,1;27,2;14,3;;1;Intermedio
63001;Armenia;2014;37,1;6,9;0,493;12,8;51,5;0,6;24,7;18,6;;1;Predominantemente urbano
08001;Barranquilla A.M.;2014;29,9;4,4;0,445;7,4;53,9;2,5;25,6;14,5;;1;Predominantemente urbano
11001;Bogotá;2014;23,3;3,4;0,502;7,7;37,2;15,8;27,3;14,6;;1;Predominantemente urbano
68001;Bucaramanga A.M.;2014;20,0;1,6;0,428;8,1;53,5;1,2;26,6;13,3;;1;Predominantemente urbano
76001;Cali A.M.;2014;26,1;4,0;0,487;11,2;51,9;4,8;24,8;18,7;;1;Predominantemente urbano
13001;Cartagena;2014;34,9;5,1;0,483;7,8;44,1;2,0;26,7;16,9;;1;Predominantemente urbano
54001;Cúcuta A.M.;2014;37,1;6,4;0,448;11,5;58,8;1,5;26,6;18,0;;1;Predominantemente urbano
18001;Florencia;2014;44,6;8,0;0,490;11,4;63,7;0,4;28,7;18,2;;0;Predominantemente rural cercano
73001;Ibagué;2014;27,1;3,1;0,442;11,7;57,0;1,1;25,8;18,8;;0;Predominantemente urbano
17001;Manizales A.M.;2014;24,9;2,9;0,468;9,2;36,7;0,9;25,0;16,4;;1;Predominantemente urbano
05001;Medellín A.M.;2014;24,5;3,4;0,526;9,9;45,5;5,0;27,0;15,7;;1;Predominantemente urbano
23001;Montería;2014;25,9;1,9;0,458;7,0;47,3;1,0;26,5;11,0;;0;Intermedio
41001;Neiva;2014;33,8;4,6;0,476;9,3;48,8;0,7;26,0;14,5;;0;Intermedio
52001;Pasto;2014;43,1;6,6;0,497;9,2;57,3;0,8;26,4;16,9;;1;Intermedio
66001;Pereira A.M.;2014;32,5;3,3;0,472;11,7;56,5;1,0;25,2;17,1;;1;Predominantemente urbano
19001;Popayán;2014;48,8;13,6;0,491;11,8;58,2;0,7;26,4;20,3;;0;Intermedio
27001;Quibdó;2014;63,3;21,9;0,503;14,2;55,4;0,3;28,9;19,2;;0;Predominantemente rural cercano
