Año;Departamento;Producto;Area;Produccion;Rendimiento;Produccion Nacional;Area Nacional
2013;BOYACA;AGUACATE;197,00;1445,00;7,34;0,49;0,61
2013;CALDAS;AGUACATE;3613,81;32771,72;9,07;11,11;11,26
2013;CASANARE;AGUACATE;44,00;461,70;10,49;0,16;0,14
2013;CAUCA;AGUACATE;420,90;2757,64;6,55;0,93;1,31
2013;CESAR;AGUACATE;1982,00;15798,00;7,97;5,36;6,18
2013;CHOCO;AGUACATE;218,00;752,50;3,45;0,26;0,68
2013;CORDOBA;AGUACATE;4,80;14,40;3,00;0,00;0,01
2013;CUNDINAMARCA;AGUACATE;450,50;3566,50;7,92;1,21;1,40
2013;HUILA;AGUACATE;435,30;4618,20;10,61;1,57;1,36
2013;LA GUAJIRA;AGUACATE;450,00;2067,00;4,59;0,70;1,40
2013;META;AGUACATE;566,00;7142,00;12,62;2,42;1,76
2013;NARIÑO;AGUACATE;117,38;469,92;4,00;0,16;0,37
2013;NORTE DE SANTANDER;AGUACATE;200,00;2246,00;11,23;0,76;0,62
2013;QUINDIO;AGUACATE;1133,20;9105,15;8,03;3,09;3,53
2013;RISARALDA;AGUACATE;1237,30;14832,58;11,99;5,03;3,86
2013;SANTANDER;AGUACATE;3218,00;27421,60;8,52;9,30;10,03
2013;SUCRE;AGUACATE;490,50;4044,00;8,24;1,37;1,53
2013;TOLIMA;AGUACATE;7822,45;63223,85;8,08;21,43;24,38
2013;VALLE DEL CAUCA;AGUACATE;1614,60;22923,35;14,20;7,77;5,03
2013;VICHADA;AGUACATE;1,30;4,16;3,20;0,00;0,00
2014;AMAZONAS;AGUACATE;24,00;139,00;5,79;0,05;0,07
2014;ANTIOQUIA;AGUACATE;4850,60;46599,63;9,61;16,14;14,05
2014;ARAUCA;AGUACATE;194,00;3010,00;15,52;1,04;0,56
2014;BOLIVAR;AGUACATE;3001,00;30808,00;10,27;10,67;8,70
2014;BOYACA;AGUACATE;195,50;1296,00;6,63;0,45;0,57
2014;CALDAS;AGUACATE;3870,10;36740,70;9,49;12,72;11,21
2014;CAQUETA;AGUACATE;0,00;0,00;0,00;0,00;0,00
2014;CASANARE;AGUACATE;48,00;558,00;11,63;0,19;0,14
2014;CAUCA;AGUACATE;425,30;2525,45;5,94;0,87;1,23
2014;CESAR;AGUACATE;1953,00;12161,00;6,23;4,21;5,66
2014;CHOCO;AGUACATE;208,00;990,00;4,76;0,34;0,60
2014;CORDOBA;AGUACATE;4,80;14,40;3,00;0,00;0,01
2014;CUNDINAMARCA;AGUACATE;568,80;3558,75;6,26;1,23;1,65
2014;GUAINIA;AGUACATE;0,00;0,00;0,00;0,00;0,00
2014;HUILA;AGUACATE;630,80;6564,85;10,41;2,27;1,83
2014;LA GUAJIRA;AGUACATE;531,00;2507,00;4,72;0,87;1,54
2014;META;AGUACATE;519,00;4788,00;9,23;1,66;1,50
2014;NARIÑO;AGUACATE;115,50;494,50;4,28;0,17;0,33
2014;NORTE DE SANTANDER;AGUACATE;350,00;4362,00;12,46;1,51;1,01
2014;PUTUMAYO;AGUACATE;12,00;110,00;9,17;0,04;0,03
2014;QUINDIO;AGUACATE;1428,10;10878,40;7,62;3,77;4,14
2014;RISARALDA;AGUACATE;1270,00;15699,20;12,36;5,44;3,68
2014;SANTANDER;AGUACATE;3003,50;17402,64;5,79;6,03;8,70
2014;SUCRE;AGUACATE;512,70;4054,60;7,91;1,40;1,49
2014;TOLIMA;AGUACATE;9053,50;58649,04;6,48;20,31;26,23
2014;VALLE DEL CAUCA;AGUACATE;1742,70;24823,30;14,24;8,60;5,05
2014;VICHADA;AGUACATE;1,50;4,80;3,20;0,00;0,00
2015;AMAZONAS;AGUACATE;27,00;157,00;5,81;0,05;0,07
2015;ANTIOQUIA;AGUACATE;5649,10;61690,45;10,92;19,73;14,73
2015;ARAUCA;AGUACATE;258,00;4020,00;15,58;1,29;0,67
2015;BOLIVAR;AGUACATE;2940,00;24135,00;8,21;7,72;7,66
2015;BOYACA;AGUACATE;276,50;1451,23;5,25;0,46;0,72
2015;CALDAS;AGUACATE;4002,20;33371,93;8,34;10,68;10,43
2015;CAQUETA;AGUACATE;0,00;0,00;0,00;0,00;0,00
2015;CASANARE;AGUACATE;42,00;443,00;10,55;0,14;0,11
2015;CAUCA;AGUACATE;677,20;4093,90;6,05;1,31;1,77
2015;CESAR;AGUACATE;2062,00;18205,00;8,83;5,82;5,38
2015;CHOCO;AGUACATE;208,00;1008,40;4,85;0,32;0,54
